text,label
"itu karena pengendara moge/harley adalah petinggi mereka bang, banyangin se level wakapolres aja ada 2 moge/harley, coba deh sekali² main ke rumdin mereka, pasti nangkring 2 moge/harley di teras mereka, blm yg se level Kapolres, ini masih setingkat polres bang blm tingkat polda, atau lebih tinggi lagi, lha ketua IMBI aja purnawirawan polri...😂😂",0
setuju klo macet ga usah di kasih lewat biar ngarasain jadi rakyat di tengah kemacetan.,0
"gak bisa lah
kalo mau ada pemerintah mau menyuarakan suara rakyat tpi kejebak macet sampe acara selesai dan gak bisa menyampaikan gimana?",1
emang mau di dengerin?,0
emang selama ini suara kita didenger? 😜,0
selama ini ada emang yang mau menyuarakan? 😅,0
rakyat mana bwang? india? 😘,0
pastikan mereka amanah,2
"ya pasti ada lah
lu nya aja yg gak update",2
lah emang di denger? bikin aturan aja semena²,0
Kalau gamau kejebak macet berangkat lebih awal lah,0
"Jalan jam 4 subuh ,jangan jam 9 baru jalan",0
emg di sampein?,0
Jgn telat lah,0
rakyat bodoh... kalau tdk bodoh pasti jd pejabat jg... minta d kawal jg ... bayar pajak jg sama bapak2 itu,0
sejak kapan tikus rakus rapat soal ralyat,0
"makanya bikin perencanaan jadwal yg matang biar ga mepet datang ke lokasi nya, duit banyak hire lah orang yg berkompeten buat bikin jadwal tersebut",0
ya bisa hadir dari kemaren klo bener niat mah,0
"suruh pada berangkat abis subuh!!!
org2 kerja sama anak sekolah aja bela2in berangkat subuh biar ga kena macet,,jgn manja!!!",0
"kaya di dengerin suara rakyatnya 😹, ya di dengerin tapi sedikit doang",0
mkny biasain on time,0
ngapain subuh² kek kerja aja😅,0
Dikira jadwal nya seenak jidat ya? Dikira cuma 1 kegiatan,0
yg lain sama kali. pada punyabkerjaan. bukan cuma yg pakek pengawal itu.,0
"Heleh udh dikawal aja dteng acara di akhiran mulu, udh gtu masang muka tembok lagi",0
coba sebutin kegiatannya apa aja sih? Primus aja bisa kok naik KRL🙄Padahal rumahnya jauh di bogor,0
takut di pinjemi uang kak krn utang Bank mreka udah numpuk 😂🤣,0
"naik krl, lrt, mrt kalo gak mau kena macet padahal yaa",0
bner kita aja brngkt subuh2 smpe types,0
Itu anak pejabat kak 😭 atau sodaranya ga usah di layan,0
biasanya yg ngetik gitu malah pengangguran gapernah kerja kak makanya asal nyerocos😂,0
"Bayar berapa ya, sekali jalan",0
Atau ba'da tahajjut😌,1
sakirana rusuh mangkat ti subuh 🤣🤣,1
bener gaji dah berpuluh puluh kali lipat dari umr wkwk,0
"jangan bahas itu dulu, mereka buru2 kaya kerja aja, yg viral kemaren aja tat tot tat tot malah isinya istri yg mau kesalon, menjijikan",0
klo ga kerja ga mungkin ke beli tu rr kocak,0
"bro pikir ini disney orang2nya santun dan sopan, serta bermoral",0
"iya pula ya, toh sampe kantor tdur lagi ya kan 😂",0
kaya bayar pajak aja mas,0
"Alhamdulillah taat bayar pajak tanah beli sendiri ngebangun babak belur uang sendiri pas nempatin wajib bayar PBB tiap tahun, beli motor pake gajih yg sudah di potong pajak,tapi motornya ttp wajib bayar pajak kendaraan alhamdulilah masih iklas bayar selagi negara tidak menyakitinya rakyat indonesia",2
"org² yg ngetik bgtu brti tandanya dia bayar pajak bro
malu kalo ga bayar tp ngetik bgtu.",0
Heh org yg tinggal d daerah macam aku gini aja tiap tahun bayar belasan juta buat pajak. Ini juga masih kalangan menengah kebawah,0
"lah emang gak tau gaji tiap bulan dipotong pajak,PBB, pajak motor, makan di resto, beli elektronik, dll semua ada pajaknya 🤣🤣 tanpa elu tau???",0
tlol,0
mereka malah ada yg ngga bayar pajak,0
"rata² bayar sih walaupun ga sadar gaji dipotong tiap bulan buat pajak, makan kena pajak, beli kendaraan, beli elektronik, bayar PBB tiap tahun, masuk tol dll semua ada biaya pajaknya.",0
"itu pejabat yg bayar pajak negara ,alias tidak bayar pajakkk,jangan diprioritaskan ,rakyat yg bayar mereka .",0
aparat digaji pake pajak dan mereka bebas pajak kok belagu ya,0
Beda dong yang bayar dapat pelayanan kusus… coba aja masuk ke peruhan pik banta mobil pakai plat no dinas negara.,0
"yaelahh orang2 begitu gaa peduliin berita gituan, yg penting dia kaya cepet simple",0
Ambil pesugian aja bang kalau pgen kaya cepet jgn jd penjabat 😢,0
banyak,1
Semiskin elu? Tb2 kaya raya kan engga? Emg kampanye gapake duit?,0
"yaaa kan ga semua org fypnya kek kita kak😭 berita kek gini juga gabakal muncul ditiktoknya anak kecil, fyp gini juga ga bakal muncul diorg yg suka nyetel dance challenge terus...",0
money money kring-kring~~ money so i need need,0
"jangankan sindiran,,teriakan aj kagak bakal d dengerin,,mungkin d bikin kyk nepal mereka bakalan sadar",0
"""misalnya gini wir, lu punya duit lu punya kuasa""",0
punya ilmu betah isin mereka😁,0
Masalahnya di pulisi,0
"temen ku kak anak dpr sgnya dikawal mulu klo naik mobil wkwkwk, mungkin dia merasa bapaknya berjasa untuk negara kali ya",0
tembok baja,1
kan ada kertas ajaib kayak gak tau aja,0
bukan oknum lagi.,0
"mereka ngetik di komputer aja g bisa,trus lu suruh mereka paham sindiran yang ada di medsos 😂😂😂😂",0
"pada muka tembok, kami masih dsuruh nanam jagung kak",0
merasa spesial mereka,0
"yang salah polisinya, profesi aparat kok dibisnisin 😂",0
mereka ga peduli,0
Habis masih pada ngasih jalan ka,0
"wkwk kesana sini bilangnya dinas ,padahal? 😂",0
ga guna seperti pada umumnya,0
guna minta minta duit,0
"izin jawab, gak brani jawab , tkut intel",0
"ntar keluar kata"" andalan polisi, hanya penjahat yang tidak suka polisi (kata nya)",0
"Mgkn untuk ngagetin org yg lg berkendara (karna sy klu lg berkendara mtr dgn fokus, sering banget kaget karna suara kek gitu, dan malah jd bahaya)",0
nyari jalan dan nilang,0
"nembak sipil lah apalagi, dari awal berdirinya Polisi di dunia emang itu tujuannya 🤣🤣",0
seperti di video,0
"buat tot tot wut wut geol""",0
"di pakein toa suruh minggir kalo ga mau minggir ada ancaman, saya pernah diancam akan dipenjarakan krn ga mau ngasih jalan",0
buset dah segitunya,0
Nah kan…,0
anjir sebegitu nya banget,0
"saya pernah di jln tol menuju bandara, sdh tau macet eh di suruh minggir terus,ga tau mo minggir kemana ..bunyi strobo nya bikin resah,bikin esmosi, lhaa sm2 mo ketinggalan pswt krn macet gmn ga tambah esmosi😌",0
setau gw emang ada sih peraturannya,0
butuh duit😂 km bayar yg bgitutuu,0
"izin jawab,gak tau om",1
"izin jawab, terima kasih sudah menjawab.",1
"izin jawab ,semoga mebantu",1
"izin menjawab kembali, sangat membantu.",1
"izin menjawab , P pinjem cepe🤣",1
"Izin jawab dulu tanteku lagi d Bogor kena macet gila g maju total,terus papa ny meninggal akhirnya nelpon patwal karena ya itu abis sekitar 4jt dari Bogor ke Sukabumi itu kejadian ny udh lama sekitar tahun 2019an g tau ya kalo skrg😁",0
kira2 Rp.....,1
ijin jawab sak karepmu bayar piro ae😁😁😁😁,1
dl jaman saya nikah tahun 2008 200rb kak😂,1
1jt,1
"Tergantung full day atau one trip, motor apa mobil, mau pake instansi yang mana juga beda harga😂",2
"1,5 juta sudah bisa kak, krna kami hampir tiap minggu pake mereka😂😂",2
10 juta saya hampir tiap hari pakai pengawalan 😅,2
mahal amat kak 10 jt...,1
iya policinya yang minta😅,0
"haduh.... saya kalau pakai cuma bayar 1,5 juta kak 12 jam",2
sekitar 1jt gk salah atau pakai orang dalam😂,2
"itu semua pake pajak rakyat bayaran mereka makannya Makmur banget dapet fasilitas dibiayain sama rakyatnya lagi ,dikawal polisi dapet bayaran dari pajak kita makannya klo jadi pejabat di negeri ini tu kyak udh dapet serpihan surga Makmur banget",0
izin jawab minimal cepean merah dua gepok bang,2
"RI 2 gausa, gapenting juga kerjanya.",2
"kantor ku di sudirman kak, kemarin RI 1 lewat, semua patwal nya engga ada yg klakson, engga ada yg minta jalan samsek, bener2 ngawal tokk, emg bawah2nya aja nih yg berisik2",2
RI 2 jarang kena macet soalnya ke desa2 sm pos kamling,2
Auto ngakak 🤣🤣🤣,1
ri1 ri2 aja ga pake sirine malah 😂,2
"RI 1 aja kadang ga pake stroboo
kmrn malah RI 1 ngasih jalan ke damkar",2
setuju,1
setuju,1
betull👍,1
susah ngebedain mana yg Ri1 mana yg bukan,2
Lah ya enggaklah. Cuma damkar dan ambulans aja kali. Enak aja itu wowo ama fufufafa dikasih jalan. Biarin dia rasain macet kayak gimana biar mikir otaknya yg kecil itu buat beresin tata kota.,0
RI 2 gausah.😂😂,2
Napa bang 🤣🤣🤣,1
"wapres pukpuk bawang, ilegal 😂🤣",2
😂😂😂,1
RI 2 GAK USAH,2
damkar jangab lupa,0
,1
"yang paling nyebelin kalau truck TNI atau POlri lewat padahal kosong suka nyerobot jalan. terus lampu strobo polisi juga kalau di toll itu sangat menyilaukan mata rawan bikin kecelakaan, lagian fungsinya juga ga jelas",0
"aku kemarin malem di tiit tot tit tot gk minggir blas biarpun jendral yg msu nyalip,tapi klo ambulan damkar presiden aku pasti minggir",0
"Urutan kendaraan prioritas di jalan raya Pasal 134 UU No. 22 Tahun 2009 tentang Lalu Lintas 1. Kendaraan pemadam 2. Ambulans 3. Kendaraan pertolongan kecelakaan lalu lintas, 4. Kendaraan pimpinan Lembaga Negara RI, 5. Kendaraan pimpinan dan pejabat negara asing/lembaga internasional, 6. Iring-iringan pengantar jenazah, dan 7. Konvoi/kendaraan kepentingan khusus lainnya menurut pertimbangan petugas kepolisian",0
jangan2 macet ga diatasi biar ada bisnis tot tot wuk wuk,0
suaranya mirip bgt kaya di foto ini,1
negara yg ngakunya demokrasi tapi budaya feodalisme masih di pelihara. 😎. saatnya rakyat cerdas sadar bahwa di jln raya hanya ambulance damkar yg punya hak prioritas bukan lagi orang orang yang sanggup bayar patwal. 😎,0
"mereka bukan mengawal pejabat, tapi mengawal koruptor",0
dan istrinya yg jadi abang2 wut wut ini hedon hedon tauuuu .. bangga lakiknya dpt job ngawal 😌 malah nawar2in klau pake wut wut SM lakiknya ajaaa .. gituu,0
"Selain presiden,ambulans,damkar, menteri purbaya. gak usah dibukain jalan",0
"sm wajib pajak bosqu, kcuali ambulan ,damkar itu wajib krn darurat",0
ugal ugalan rombongan,0
PRESIDEN AJA JARANG PAKAI SIRINE TAT TOT TAT TOT KECUALI MEMANG URGENT,0
"Buru buru kayak mau kerja aja ,,,",0
mana pajak mobilnya ditanggung lagi,1
"masyarakat aja kalo kerja pada berangkat subuh desek2an di transportasi, ini kerja ga jelas, berangkat siang, pengen diistimewakan 😒😒",1
pernah kaki gua kelindes sama patwal beginian gara2 telat minggir,1
buru buru bgt kaya kerja aja😂,0
"apa² dari rakyat, akhirnya nyusahin rakyat",1
semoga normalisasi kek gini makin ke seluruh Indonesia🤩,0
"Kalau di Eropa sirene di gunakan untuk mengejar penjahat.
Di Konoha sirene di bunyikan buat kawal penjahat.",1
kalo gamau telat berangkat lebih awal,0
"maklumin lah guys,mereka tuh buru² karna ngantuk,kan sampe tempat langsung pada tidur",1
"hanya 3 yg dapat pioritas, 1.presiden, 2.ambulans, 3.pemadam kebakaran.
selain itu jgn kasih jalan.",0
ke kantor mau molor aja segala di kawal pake strobo,0
"sama2 bayar pajak, ngapain ngalah?🤣",1
seperti urusan mereka ajah yg paling penting di dunia ini.. padahal faktanya urusan negara gk beres beres 😂,1
"Terima kasih utk pengendara yg mulai menyadari akan penting-nya unit kami lebih utama saat emergency atau darurat, kami jg sadar dlm kondisi tdk urgent kami ikut antri macet bersama masyarakat....🙏",1
,1
kaya kalian pada kerja aja 😁,1
santai aja untuk kita rakyat jelata jangan ada yang mau minggir.harusnya dia yg memberi jln untuk kita🔥,1
dang they put the new 2023 rims on the old rolls royce,1
selain ambulance damkar GK usah minggir KLO ada wut wut bunyi dibelakang kita,0
"jangan mau minggir selain presiden,damkar&ambulan👏👏",0
Ditunggu kak undang2/aturan yg mana yg dimaksud 🙏,0
UU 22/2009 tentang Lalu Lintas dan Angkutan Jalan. Aturannya tercantum di Pasal 134 dan pasal 135,0
"Pasal 134, seperti pemadam kebakaran, ambulans, dan kendaraan pimpinan lembaga negara. Bagian mana mention sipil?",0
134 ayat g g. Konvoi dan/atau Kendaraan untuk kepentingan tertentu menurut pertimbangan petugas Kepolisian Negara Republik Indonesia,0
Jadi menurut lo kepentingan sipil kaya gimana yg boleh?,0
"byk. ada yg konvoi, ada yg pakai untuk nikahan, acara organisasi, dlsb",0
Oh jadi menurut lo hal2 yg disebutkan barusan pantes dapet pengawalan lebih dan orang2 lain di jalan harus mengalah sama mereka?,1
sah2 saja. diseluruh dunia mmg bgtu.,1
wkwkwk lu percaya ga bang kalo yg debatin lu gara gara beginian ni bocil sebenernya😭,1
"sekarang gini mas, klo aturan nya publik gasuka, sudah jadi tugas dpr untuk merevisi undang undang. Jangan semuanya berlindung dibalik undang undang, suara rakyat adalah suara tuhan",0
aturan itu bukan suka atau tidak suka publik. apalagi hnya segelintir publik. klo gtu bisa2 pajak dihapuskan aja karena publik tdk suka,1
"segelintir? ayo main data, banyakan mana yg suka sama ga suka, berani taruhan?",1
gmn mekanisme ngitungnya ini?,1
ya emg hrus bayar. masa gratisan,1
pejabat pake vorijdeer juga bayar.fasilitasnya diatur dlm uu,1
bayar pakai uang pribadi ?,1
Uu nomer berapa pasal berapa kak? Mau saya baca karna saya ga nemu,1
klo pribadi bisa bayar pake uang pribadi,1
kalau pejabat ?,1
trgntung level pejabatnya. ada yg dibiayai negara. tp nnt uang saku patwalnya dikasih dr kantong pribadi pejabat,1
"Sampai kadang supir ambulan itu banyk bngt dapat masalah dijalan karna mereka ngebut but nyelamatin nywa yg dibawa, tp jujur patwal gini kalau minta jalan posisi yg dikawan pasti ngebut kadang bisa nyelakain sekitar",1
"ya karna di indo,kalo ke negara lain ya ga gitu🤣 disini kan apapun bisa di beli🤣",1
unilever?,1
berangkat H-1 sihh benernya ✅,1
Kalau bisa h-10 bang wkwkw,1
Masa kalo jadwalnya jam 1 terus sebelomnya ada kegiatan juga berangkat subuh?,2
"mau kemana sih emangburu2 amat, kalo ngejar waktu ya brangkat lebih awal kalii",2
kalo semua panjak nya di tanggung mereka lu bunyi wut wut setiap jalan juga bakal di kasih jalan 🗿 la kita aja sama sama bayar pajak kenapa kasih jalan ?,0
"jgan kan pejabat ,sering lihat sekelas kapolres minta jalan ,kadang nerobos lampu merah ,masyrakat d suruh stop",0
"Alasannya sederhana,rakyat sudah terlanjur kecewa dengan kinerja instansi pemerintah.",0
ayolah polri dan aparat pemerintah yg lain buatlah kami percaya dan menghargaimu,2
Jangan di kasih jalan selain kendaraan penting seperti presiden ambulan damkar lainnya itu jangan di buka in biar gak kebiasaan emang jalan punya dia ap,0
gw si klo emang ketauan itu ngga urgent gw balikin klakson anjir dri belakangnya,2
"kita juga harus mengalah jika ada pejabat yg ingin lewat, bisa jadi dia ingin buru-buru mengambil uang suap",2
"hadeeeuh,indonesia atuh tanah airku 😂",1
setuju...bahaya buat orang janringan,1
pelayan rakyat,1
"harusnya yang make wak wok wak wok ini mobil paket,paket gw ora nyampe nyampe ini wkwkw",1
kami bayar pajak broo,0
ngapain masih mau minggir?,0
Ya kalo gamau macet dateng pagian ya bossskuh,1
ga usah minggir sama sama bayar pajak 😁,0
lu asik bang,1
jdjd,1
"😂😂😂 iya aja deh, emang konsep “waktu bisa dibeli” masih belum umum. Semoga kalian bisa ngerasin manfaatnya nanti. 😅😅😅",0
"waktu bisa dibeli, tapi itu gk termasuk membeli pengguna jalan lain utk ngasih jalan, silahkan beli juga ini ini biar pengawalan jalan lancar, kan tajir katanya 🤣",0
"kocak, pengawalan sama prioritas jalan itu beda. emg mereka bayar, tapi cuma buat dikawal bukan buat selap selip. kecuali itu damkar, ambulan, presiden, ketua dpr/mpr",0
"kalau konsep lu gitu, yang paling butuh jalan berarti taxi sama ojol, karena penumpangnya bayar semua.",1
"Heran deh, jalan kan barang milik umum, dibangunnya juga pake pajak rakyat, kenapa tiba2 ada orang yang bisa “bayar” terus jadi orang yang harus didahulukan? Lagi pula di peraturan juga udah jelas siapa aja yang jadi prioritas",0
buzzer,2
"salah sendiri buat beli, trus lu ngarep apa? emang lu pikir org yg gak beli patwal, gak sibuk gtu? dia kan beli waktu buat dirinya sendiri, tapi gak ada jaminan dia bisa mendapatkan hal tsb kan 😏, lagian kan itu jalan umum, gak ada kewajiban, klo pake patwal harus diutamakan 😂",0
belum pernah ngerasain dikawal polisi kali,1
apa rasanya?? ngerasa jadi jagoan? org penting?? pengendara lain gk peduli,1
"iyalah, lu punya duit lu punya kuasa...",1
"Yaudah, tapi bukan urusan pengendara lain, silahkan totot jgn harap ada yg ngasih jalan 🤣🤣",0
"nyatanya juga banyak yg kasih jalan, yg gamau kasih jalan itu orang2 yg ga mampu pakai jasa patwal, makanya dia ga terima kalo jalan nya diterobos sama rombongan patwal😅",2
"Yg ngasih jalan yg masih terjebak di skema kolonial kuno padre de fotre yg harus patuh ke penguasa, dan yg gk ngasih jalan sudah terupdate mindsetnya klo pejabat dan aparat itu bawahan rakyat yg hidup dari donasi rakyat dan gk ada privilage di jalan umum kecuali situasi darurat bencana, semua negara maju sudah menerapakan ini dan kelak rakyat indo akan sadar semua dan patwal yg dibayar harus patuh pada rakyat yg lagi pakai jalan 🤣🤣",1
omongan lulusan sma pantes begini🤭,1
omongan org lulusan sma yg b*g*🤭,1
"nyokap lu juga bisa gw beli, sini",1
0/10 ragebait,1
waktu bisa di beli ? kwkwkw lucu,1
oh ini pasti yg suka byar pake tet tot ya,2
"jangan gitu...
polisi mending begitu karena dibayar
kalau gk ada yang begitu, pasti banyak yang korup",2
"buset rr gitu mobilnya pajaknya pasti mahal, oh iya dibayar negara, baru 1 kendaraan 😂",1
ga pantes karyawan nyuru boss minggir ...,1
"saudara ku juga kayak gini, buat makan diluar doang minta di kawal 😭",1
emang pada ga punya malu anjir,0
"pengusaha biasanya, mereka juga bawa lapangan pekerjaan di tangannya. kalo yang begitu full Strobo/rombongan mobil mewah mending gausah dikasih. tapi kalau jumlahnya cuma sedikit, kemungkinan mereka beneran pengusaha yang dimana meeting bisnis mereka jauh lebih penting daripada kita karena nyawa banyak orang ada di tangan mereka",1
"sama sama di untungkan kedua belah pihak 🙏
masyarakat biasa cenderung takut jika melihat polisi, dari pada ribet urusan nya,jadi lebih baik ngalah",1
kebelet rapat... jadii harus dikawal.,1
yg mereka mereka liat tu duit yg didenger duit juga,1
mana ada yg liat beginian brooo,1
"masalahnya yang dikasih mau aja.
padahal khan itu melanggar SOP dia.",1
mungkin tunggu kek di nepal pejabatnya dikeroyok,1
makanya banyak duit biar bisa seperti itu🤪,1
biasa uda muka tembok semua 🤣 yg korup uda bebas aja masih nyalon jadi pejabat 🤣,1
NAMANYA JUGA ORANG BUDEG GA BAKAL MASUK SAMA KAYA DPR,1
lebih parah lagi banyak pengusaha/mata sipit yg berduit yg pake pengawalan😏😏😏,1
Tidak ada malu,1
"lha disindir doang di sosmed mana tau malu mereka di datengin rame rame aja kagak malu, mrk panik klo rumahnya di jarah doang",1
"sekarang mereka udah ngk peduli udah budeg buta , bahkan korupsi aja terang²n",1
Loh ngga nduwe rai gan😭 lapo kok ngomongi isin😭😭😭😭,1
soalnya udh hilang urat malunya kak,1
"aturan dibuat untuk dilanggar, ciri khas negara rusak",0
"trus penting bgt urusan touringnya, mau makan makan, nyanyi nyanyi, ketawa ketiwi, penting bgt jadi urusan masyarakat",0
"kepentingannya mau touring. mau barbeque, mau nyanyi nyanyi... iihh penting bgt 🥴",0
"Bener niyy, ampe suka kaget, jd bahaya",1
"kalau aku gak kasi lewat,emang mereka siapa,pernah dulu ada rombongan moge dijalan dikawal polisi,sampai nepuk bodi mobil,ya aku pepet kekanan biar dimakan sama yg lawan arah,terus diberhentiin ngotot sampai mau berantem,tapi untung dibantu warga sekitar ahirnya gak jadi terus membubarkan diri rombongan moge",0
"Jadi inget sekitar 2015,n om ku pulang lewat puncak kena senggol motor harley ampe terperosok jurang😭boro2 tnggung jwb yg nolongin aja g ada😌 ampe skrg kalo lita motor grombolan kek gitu kesel aja",1
nah kan 😳,1
skrg jamannya udh susah nyari batu kali di pinggir aspal.. coba klu ada😜,1
"Duh gak boleh jgn dong... 😁😁😁
harus ada aksi kelompok masyarakat buat kritik pengguna jln arogan ini.",0
suara kita rakyat kecil...cuma angin lalu buat mrk Bro🥹,1
